ID,MatchID,EventID,Date,Characters,Matchup
2007,210,26,2013-05-18T00:00:00,,
1073,211,26,2013-05-18T00:00:00,,
1069,212,26,2013-05-18T00:00:00,,
1286,213,26,2013-05-18T00:00:00,,
1072,214,26,2013-05-18T00:00:00,,
1049,215,26,2013-05-18T00:00:00,,
1063,216,26,2013-05-18T00:00:00,,
1070,217,26,2013-05-18T00:00:00,,
1040,218,26,2013-05-18T00:00:00,,
1288,219,26,2013-05-18T00:00:00,,
1071,220,26,2013-05-18T00:00:00,,
1064,221,26,2013-05-18T00:00:00,,
1283,222,26,2013-05-18T00:00:00,,
1291,223,26,2013-05-18T00:00:00,,
2007,224,26,2013-05-18T00:00:00,,
1073,225,26,2013-05-18T00:00:00,,
1066,226,26,2013-05-18T00:00:00,,
1071,246,34,2013-06-30T00:00:00,,
1155,247,34,2013-06-30T00:00:00,,
1978,248,34,2013-06-30T00:00:00,,
1040,249,34,2013-06-30T00:00:00,,
1072,250,34,2013-06-30T00:00:00,,
1066,251,34,2013-06-30T00:00:00,,
1286,252,34,2013-06-30T00:00:00,,
1288,253,34,2013-06-30T00:00:00,,
1358,254,34,2013-06-30T00:00:00,,
1283,255,34,2013-06-30T00:00:00,,
1282,256,34,2013-06-30T00:00:00,,
13911,257,34,2013-06-30T00:00:00,,
1071,259,34,2013-06-30T00:00:00,,
1978,260,34,2013-06-30T00:00:00,,
1155,261,34,2013-06-30T00:00:00,,
1283,262,34,2013-06-30T00:00:00,,
1072,263,34,2013-06-30T00:00:00,,
1040,264,34,2013-06-30T00:00:00,,
1066,265,34,2013-06-30T00:00:00,,
1288,266,34,2013-06-30T00:00:00,,
1358,267,34,2013-06-30T00:00:00,,
13911,268,34,2013-06-30T00:00:00,,
1286,270,34,2013-06-30T00:00:00,,
1282,271,34,2013-06-30T00:00:00,,
1068,272,35,2013-07-27T00:00:00,,
1069,273,35,2013-07-27T00:00:00,,
1155,274,35,2013-07-27T00:00:00,,
1040,275,35,2013-07-27T00:00:00,,
1072,276,35,2013-07-27T00:00:00,,
1071,277,35,2013-07-27T00:00:00,,
1283,278,35,2013-07-27T00:00:00,,
1286,279,35,2013-07-27T00:00:00,,
1063,280,35,2013-07-27T00:00:00,,
1282,281,35,2013-07-27T00:00:00,,
1285,283,35,2013-07-27T00:00:00,,
1090,284,35,2013-07-27T00:00:00,,
1288,285,35,2013-07-27T00:00:00,,
1157,287,35,2013-07-27T00:00:00,,
5486,288,35,2013-07-27T00:00:00,,
1068,293,35,2013-07-27T00:00:00,,
1072,294,35,2013-07-27T00:00:00,,
1071,295,35,2013-07-27T00:00:00,,
1286,296,35,2013-07-27T00:00:00,,
1285,297,35,2013-07-27T00:00:00,,
1040,298,35,2013-07-27T00:00:00,,
1282,299,35,2013-07-27T00:00:00,,
1288,300,35,2013-07-27T00:00:00,,
1283,301,35,2013-07-27T00:00:00,,
1090,302,35,2013-07-27T00:00:00,,
1063,303,35,2013-07-27T00:00:00,,
1155,304,35,2013-07-27T00:00:00,,
1157,305,35,2013-07-27T00:00:00,,
5486,308,35,2013-07-27T00:00:00,,
1063,313,38,2013-08-11T00:00:00,,
1157,314,38,2013-08-11T00:00:00,,
1066,315,38,2013-08-11T00:00:00,,
1288,316,38,2013-08-11T00:00:00,,
1282,317,38,2013-08-11T00:00:00,,
1358,318,38,2013-08-11T00:00:00,,
1088,319,38,2013-08-11T00:00:00,,
1063,320,38,2013-08-11T00:00:00,,
1282,321,38,2013-08-11T00:00:00,,
1157,322,38,2013-08-11T00:00:00,,
1288,323,38,2013-08-11T00:00:00,,
1358,324,38,2013-08-11T00:00:00,,
1066,325,38,2013-08-11T00:00:00,,
1088,326,38,2013-08-11T00:00:00,,
1068,337,41,2013-08-24T00:00:00,,
1069,338,41,2013-08-24T00:00:00,,
1285,339,41,2013-08-24T00:00:00,,
1066,340,41,2013-08-24T00:00:00,,
1358,342,41,2013-08-24T00:00:00,,
1068,347,41,2013-08-24T00:00:00,,
1066,348,41,2013-08-24T00:00:00,,
1358,349,41,2013-08-24T00:00:00,,
1285,351,41,2013-08-24T00:00:00,,
1282,353,41,2013-08-24T00:00:00,,
1312,368,45,2013-09-10T00:00:00,,
1155,369,45,2013-09-10T00:00:00,,
1040,370,45,2013-09-10T00:00:00,,
5699,371,45,2013-09-10T00:00:00,,
1063,372,45,2013-09-10T00:00:00,,
1066,373,45,2013-09-10T00:00:00,,
1157,374,45,2013-09-10T00:00:00,,
1286,375,45,2013-09-10T00:00:00,,
1358,376,45,2013-09-10T00:00:00,,
1288,377,45,2013-09-10T00:00:00,,
13911,378,45,2013-09-10T00:00:00,,
1283,379,45,2013-09-10T00:00:00,,
1155,382,45,2013-09-10T00:00:00,,
1312,383,45,2013-09-10T00:00:00,,
1040,384,45,2013-09-10T00:00:00,,
1157,385,45,2013-09-10T00:00:00,,
1063,386,45,2013-09-10T00:00:00,,
5699,387,45,2013-09-10T00:00:00,,
1066,388,45,2013-09-10T00:00:00,,
1283,389,45,2013-09-10T00:00:00,,
1286,390,45,2013-09-10T00:00:00,,
1358,392,45,2013-09-10T00:00:00,,
1288,394,45,2013-09-10T00:00:00,,
13911,395,45,2013-09-10T00:00:00,,
1069,396,50,2013-10-12T00:00:00,,
1069,397,50,2013-10-12T00:00:00,,
1155,398,50,2013-10-12T00:00:00,,
1071,399,50,2013-10-12T00:00:00,,
2007,400,50,2013-10-12T00:00:00,,
1312,401,50,2013-10-12T00:00:00,,
1291,402,50,2013-10-12T00:00:00,,
1073,404,50,2013-10-12T00:00:00,,
1040,405,50,2013-10-12T00:00:00,,
1063,406,50,2013-10-12T00:00:00,,
1157,408,50,2013-10-12T00:00:00,,
1282,409,50,2013-10-12T00:00:00,,
1283,410,50,2013-10-12T00:00:00,,
1288,411,50,2013-10-12T00:00:00,,
1068,412,50,2013-10-12T00:00:00,,
1071,413,50,2013-10-12T00:00:00,,
1155,414,50,2013-10-12T00:00:00,,
1312,415,50,2013-10-12T00:00:00,,
1291,417,50,2013-10-12T00:00:00,,
1040,418,50,2013-10-12T00:00:00,,
1157,419,50,2013-10-12T00:00:00,,
1073,420,50,2013-10-12T00:00:00,,
1282,422,50,2013-10-12T00:00:00,,
1283,423,50,2013-10-12T00:00:00,,
1063,424,50,2013-10-12T00:00:00,,
1288,425,50,2013-10-12T00:00:00,,
1064,426,50,2013-10-12T00:00:00,,
1049,465,60,2013-12-07T00:00:00,,
1047,466,60,2013-12-07T00:00:00,,
2007,467,60,2013-12-07T00:00:00,,
1469,468,60,2013-12-07T00:00:00,,
1041,469,60,2013-12-07T00:00:00,,
1053,470,60,2013-12-07T00:00:00,,
1052,471,60,2013-12-07T00:00:00,,
1292,472,60,2013-12-07T00:00:00,,
1283,473,60,2013-12-07T00:00:00,,
1388,474,60,2013-12-07T00:00:00,,
1084,476,60,2013-12-07T00:00:00,,
1195,477,60,2013-12-07T00:00:00,,
1049,479,60,2013-12-07T00:00:00,,
1047,480,60,2013-12-07T00:00:00,,
2007,481,60,2013-12-07T00:00:00,,
1041,482,60,2013-12-07T00:00:00,,
1053,484,60,2013-12-07T00:00:00,,
1469,485,60,2013-12-07T00:00:00,,
1292,486,60,2013-12-07T00:00:00,,
1084,488,60,2013-12-07T00:00:00,,
1388,489,60,2013-12-07T00:00:00,,
1195,490,60,2013-12-07T00:00:00,,
1052,492,60,2013-12-07T00:00:00,,
1113,499,64,2013-12-14T00:00:00,,
1180,500,64,2013-12-14T00:00:00,,
1176,501,64,2013-12-14T00:00:00,,
1174,503,64,2013-12-14T00:00:00,,
1113,504,64,2013-12-14T00:00:00,,
1180,505,64,2013-12-14T00:00:00,,
1176,506,64,2013-12-14T00:00:00,,
1174,508,64,2013-12-14T00:00:00,,
1068,543,70,2014-01-05T00:00:00,,
1072,544,70,2014-01-05T00:00:00,,
1291,545,70,2014-01-05T00:00:00,,
1155,546,70,2014-01-05T00:00:00,,
1070,547,70,2014-01-05T00:00:00,,
1286,548,70,2014-01-05T00:00:00,,
5699,549,70,2014-01-05T00:00:00,,
1157,550,70,2014-01-05T00:00:00,,
1040,551,70,2014-01-05T00:00:00,,
1073,552,70,2014-01-05T00:00:00,,
1283,553,70,2014-01-05T00:00:00,,
1289,554,70,2014-01-05T00:00:00,,
1063,555,70,2014-01-05T00:00:00,,
1041,556,70,2014-01-05T00:00:00,,
1297,557,70,2014-01-05T00:00:00,,
1068,558,70,2014-01-05T00:00:00,,
1155,559,70,2014-01-05T00:00:00,,
1291,560,70,2014-01-05T00:00:00,,
1073,561,70,2014-01-05T00:00:00,,
1070,562,70,2014-01-05T00:00:00,,
1072,563,70,2014-01-05T00:00:00,,
1040,564,70,2014-01-05T00:00:00,,
1289,565,70,2014-01-05T00:00:00,,
1157,566,70,2014-01-05T00:00:00,,
1286,567,70,2014-01-05T00:00:00,,
1063,568,70,2014-01-05T00:00:00,,
1041,569,70,2014-01-05T00:00:00,,
5699,570,70,2014-01-05T00:00:00,,
1283,571,70,2014-01-05T00:00:00,,
1297,572,70,2014-01-05T00:00:00,,
1329,573,71,2014-01-12T00:00:00,,
1180,574,71,2014-01-12T00:00:00,,
1150,575,71,2014-01-12T00:00:00,,
1113,576,71,2014-01-12T00:00:00,,
2007,578,71,2014-01-12T00:00:00,,
1532,581,71,2014-01-12T00:00:00,,
1176,585,71,2014-01-12T00:00:00,,
1185,591,71,2014-01-12T00:00:00,,
1329,594,71,2014-01-12T00:00:00,,
1102,595,71,2014-01-12T00:00:00,,
1113,596,71,2014-01-12T00:00:00,,
2007,597,71,2014-01-12T00:00:00,,
1180,598,71,2014-01-12T00:00:00,,
1150,599,71,2014-01-12T00:00:00,,
1175,602,71,2014-01-12T00:00:00,,
1360,604,71,2014-01-12T00:00:00,,
1532,608,71,2014-01-12T00:00:00,,
1171,615,71,2014-01-12T00:00:00,,
1183,631,75,2014-01-25T00:00:00,,
1183,645,75,2014-01-25T00:00:00,,
1174,654,75,2014-01-25T00:00:00,,
5699,673,81,2014-02-15T00:00:00,,
1049,674,81,2014-02-15T00:00:00,,
1047,675,81,2014-02-15T00:00:00,,
1039,676,81,2014-02-15T00:00:00,,
1055,677,81,2014-02-15T00:00:00,,
1084,679,81,2014-02-15T00:00:00,,
1082,681,81,2014-02-15T00:00:00,,
1042,682,81,2014-02-15T00:00:00,,
1081,683,81,2014-02-15T00:00:00,,
1165,684,81,2014-02-15T00:00:00,,
1211,685,81,2014-02-15T00:00:00,,
1083,686,81,2014-02-15T00:00:00,,
2195,688,81,2014-02-15T00:00:00,,
1056,689,81,2014-02-15T00:00:00,,
1049,690,81,2014-02-15T00:00:00,,
1047,691,81,2014-02-15T00:00:00,,
1055,692,81,2014-02-15T00:00:00,,
5699,693,81,2014-02-15T00:00:00,,
1081,694,81,2014-02-15T00:00:00,,
1039,696,81,2014-02-15T00:00:00,,
1211,697,81,2014-02-15T00:00:00,,
2195,698,81,2014-02-15T00:00:00,,
1097,699,81,2014-02-15T00:00:00,,
1165,700,81,2014-02-15T00:00:00,,
1056,702,81,2014-02-15T00:00:00,,
1083,703,81,2014-02-15T00:00:00,,
1042,704,81,2014-02-15T00:00:00,,
1082,705,81,2014-02-15T00:00:00,,
1084,706,81,2014-02-15T00:00:00,,
1112,713,88,2014-02-23T00:00:00,,
1329,714,88,2014-02-23T00:00:00,,
1049,715,88,2014-02-23T00:00:00,,
1113,716,88,2014-02-23T00:00:00,,
1047,717,88,2014-02-23T00:00:00,,
1142,718,88,2014-02-23T00:00:00,,
1105,720,88,2014-02-23T00:00:00,,
1076,721,88,2014-02-23T00:00:00,,
2007,723,88,2014-02-23T00:00:00,,
1245,724,88,2014-02-23T00:00:00,,
1243,727,88,2014-02-23T00:00:00,,
1171,734,88,2014-02-23T00:00:00,,
1396,738,88,2014-02-23T00:00:00,,
1542,745,88,2014-02-23T00:00:00,,
1112,749,88,2014-02-23T00:00:00,,
1329,750,88,2014-02-23T00:00:00,,
1113,751,88,2014-02-23T00:00:00,,
1049,752,88,2014-02-23T00:00:00,,
1105,753,88,2014-02-23T00:00:00,,
1047,754,88,2014-02-23T00:00:00,,
1084,757,88,2014-02-23T00:00:00,,
2007,758,88,2014-02-23T00:00:00,,
1243,759,88,2014-02-23T00:00:00,,
1245,760,88,2014-02-23T00:00:00,,
1142,761,88,2014-02-23T00:00:00,,
1396,765,88,2014-02-23T00:00:00,,
1176,771,88,2014-02-23T00:00:00,,
1171,772,88,2014-02-23T00:00:00,,
1393,783,88,2014-02-23T00:00:00,,
1049,785,89,2014-03-15T00:00:00,,
1047,786,89,2014-03-15T00:00:00,,
1078,787,89,2014-03-15T00:00:00,,
1084,788,89,2014-03-15T00:00:00,,
1083,789,89,2014-03-15T00:00:00,,
1081,790,89,2014-03-15T00:00:00,,
1167,791,89,2014-03-15T00:00:00,,
1152,792,89,2014-03-15T00:00:00,,
1056,793,89,2014-03-15T00:00:00,,
2400,795,89,2014-03-15T00:00:00,,
1189,797,89,2014-03-15T00:00:00,,
1097,799,89,2014-03-15T00:00:00,,
1219,801,89,2014-03-15T00:00:00,,
1190,803,89,2014-03-15T00:00:00,,
1218,806,89,2014-03-15T00:00:00,,
1195,808,89,2014-03-15T00:00:00,,
1049,809,89,2014-03-15T00:00:00,,
1078,810,89,2014-03-15T00:00:00,,
1047,811,89,2014-03-15T00:00:00,,
1167,812,89,2014-03-15T00:00:00,,
2400,813,89,2014-03-15T00:00:00,,
1152,814,89,2014-03-15T00:00:00,,
1081,815,89,2014-03-15T00:00:00,,
1189,816,89,2014-03-15T00:00:00,,
1190,817,89,2014-03-15T00:00:00,,
1084,819,89,2014-03-15T00:00:00,,
1097,821,89,2014-03-15T00:00:00,,
1219,825,89,2014-03-15T00:00:00,,
1056,827,89,2014-03-15T00:00:00,,
1211,829,89,2014-03-15T00:00:00,,
1083,831,89,2014-03-15T00:00:00,,
1174,843,93,2014-03-29T00:00:00,,
1184,844,93,2014-03-29T00:00:00,,
1183,845,93,2014-03-29T00:00:00,,
1181,846,93,2014-03-29T00:00:00,,
1182,847,93,2014-03-29T00:00:00,,
1184,854,93,2014-03-29T00:00:00,,
1183,855,93,2014-03-29T00:00:00,,
1182,856,93,2014-03-29T00:00:00,,
1174,857,93,2014-03-29T00:00:00,,
1179,858,93,2014-03-29T00:00:00,,
1181,859,93,2014-03-29T00:00:00,,
5699,883,97,2014-03-29T00:00:00,,
2007,884,97,2014-03-29T00:00:00,,
1047,885,97,2014-03-29T00:00:00,,
1079,886,97,2014-03-29T00:00:00,,
1051,887,97,2014-03-29T00:00:00,CaptainFalcon,CaptainFalcon;Marth
1097,888,97,2014-03-29T00:00:00,Sheik,Sheik;Falco
1084,889,97,2014-03-29T00:00:00,,
1169,890,97,2014-03-29T00:00:00,Marth,Marth;CaptainFalcon
1083,891,97,2014-03-29T00:00:00,Yoshi,
1081,892,97,2014-03-29T00:00:00,,
1056,893,97,2014-03-29T00:00:00,Luigi,
1054,894,97,2014-03-29T00:00:00,Marth,Marth;Marth
1082,895,97,2014-03-29T00:00:00,Marth,
1212,896,97,2014-03-29T00:00:00,,
1076,897,97,2014-03-29T00:00:00,,
1167,899,97,2014-03-29T00:00:00,,
1165,900,97,2014-03-29T00:00:00,Luigi,
2400,901,97,2014-03-29T00:00:00,Falco,Falco;Marth
1192,902,97,2014-03-29T00:00:00,Marth,Marth;Marth
1195,903,97,2014-03-29T00:00:00,Falco,
5699,904,97,2014-03-29T00:00:00,,
1078,905,97,2014-03-29T00:00:00,,
1051,906,97,2014-03-29T00:00:00,,
2007,907,97,2014-03-29T00:00:00,Marth,Marth;Fox
1047,908,97,2014-03-29T00:00:00,Falco,Falco;Fox
1079,909,97,2014-03-29T00:00:00,,
1084,910,97,2014-03-29T00:00:00,Marth,Marth;CaptainFalcon
1167,911,97,2014-03-29T00:00:00,,
1212,912,97,2014-03-29T00:00:00,,
1076,913,97,2014-03-29T00:00:00,Sheik,Sheik;Marth
1082,914,97,2014-03-29T00:00:00,Marth,Marth;Falco
1083,915,97,2014-03-29T00:00:00,Yoshi,
1054,916,97,2014-03-29T00:00:00,,
2400,917,97,2014-03-29T00:00:00,,
1097,918,97,2014-03-29T00:00:00,Sheik,Sheik;Marth
1081,919,97,2014-03-29T00:00:00,,
1056,921,97,2014-03-29T00:00:00,Luigi,
1195,922,97,2014-03-29T00:00:00,Falco,Falco;Marth
1165,923,97,2014-03-29T00:00:00,Luigi,
1169,924,97,2014-03-29T00:00:00,Marth,
1192,925,97,2014-03-29T00:00:00,Marth,Marth;Marth
1068,947,102,2014-04-05T00:00:00,,
1069,948,102,2014-04-05T00:00:00,,
1155,949,102,2014-04-05T00:00:00,,
1071,950,102,2014-04-05T00:00:00,,
1073,951,102,2014-04-05T00:00:00,ZZFox,Fox;Fox
1040,952,102,2014-04-05T00:00:00,,
1063,953,102,2014-04-05T00:00:00,Sheik,Sheik;Fox
3409,954,102,2014-04-05T00:00:00,Jigglypuff,Jigglypuff;Falco
1286,955,102,2014-04-05T00:00:00,Luigi,
1157,956,102,2014-04-05T00:00:00,,
1371,957,102,2014-04-05T00:00:00,Peach,Peach;Falco
1282,958,102,2014-04-05T00:00:00,,
1066,959,102,2014-04-05T00:00:00,Yoshi,
1041,960,102,2014-04-05T00:00:00,,
1088,961,102,2014-04-05T00:00:00,,
1062,967,102,2014-04-05T00:00:00,,
1290,969,102,2014-04-05T00:00:00,,
1317,974,102,2014-04-05T00:00:00,,
1087,975,102,2014-04-05T00:00:00,,
1068,976,102,2014-04-05T00:00:00,,
1155,977,102,2014-04-05T00:00:00,,
1071,978,102,2014-04-05T00:00:00,,
1040,979,102,2014-04-05T00:00:00,Falco,Falco;Fox
3409,980,102,2014-04-05T00:00:00,,
1286,981,102,2014-04-05T00:00:00,,
1157,982,102,2014-04-05T00:00:00,,
1041,983,102,2014-04-05T00:00:00,,
1073,984,102,2014-04-05T00:00:00,ZZFox,Fox;Fox
1066,985,102,2014-04-05T00:00:00,Yoshi,
1063,986,102,2014-04-05T00:00:00,,
1290,987,102,2014-04-05T00:00:00,,
1062,989,102,2014-04-05T00:00:00,,
1371,997,102,2014-04-05T00:00:00,,
1317,1000,102,2014-04-05T00:00:00,,
1087,1001,102,2014-04-05T00:00:00,,
1282,1002,102,2014-04-05T00:00:00,,
1622,1004,104,2014-04-11T00:00:00,,
1803,1005,104,2014-04-11T00:00:00,,
1818,1010,104,2014-04-11T00:00:00,,
1607,1012,104,2014-04-11T00:00:00,,
1806,1014,104,2014-04-11T00:00:00,,
1611,1016,104,2014-04-11T00:00:00,,
1622,1017,104,2014-04-11T00:00:00,,
1653,1019,104,2014-04-11T00:00:00,,
1625,1021,104,2014-04-11T00:00:00,,
1818,1022,104,2014-04-11T00:00:00,,
1614,1023,104,2014-04-11T00:00:00,,
1806,1026,104,2014-04-11T00:00:00,,
1611,1027,104,2014-04-11T00:00:00,,
1617,1028,104,2014-04-11T00:00:00,Dr.Mario,
1329,1044,107,2014-04-13T00:00:00,,
1180,1045,107,2014-04-13T00:00:00,,
1150,1046,107,2014-04-13T00:00:00,,
